country,num_people,Electricity_consumption,clean_energy,num_cars,factory_size,local_products?,buy _environmentally_companies?,HANDLE WASTE?,Heating energy,gasoline,natural gas ,water consumtion,waste quantity,Carbon_precentage
Egypt,339,3778,20,7,0,Sometimes,Sometimes,Plastic,Heating oil,1303,859,2710,845,96.2394733230001
Egypt,648,4865,1,7,3,Always,Sometimes,Glass,Coal,1499,3477,2616,2759,177.441937342195
Egypt,160,3967,70,8,3,Sometimes,Always,Tin cans,Natural Gas,956,1302,916,4121,65.2381373001094
Egypt,469,2420,86,7,2,Sometimes,Always,Paper,Wood,1769,5588,2926,4615,158.693177345753
Egypt,223,6801,89,6,1,I`am not considering this option,Sometimes,Food,Heating oil,2953,3574,2083,623,118.818785273495
Egypt,105,6896,0,7,0,Always,Always,Plastic,Wood,2859,5072,432,3594,100.553141267502
Egypt,382,4033,24,5,0,I`am not considering this option,Always,Glass,Natural Gas,1301,3408,632,4524,125.747541324004
Egypt,394,1497,64,7,3,Sometimes,I`am not considering this option,Tin cans,Wood,2522,2021,2978,436,122.450365350303
Egypt,696,1670,8,2,0,I`am not considering this option,Sometimes,Tin cans,Electricity,2086,1704,1687,1995,172.078561381367
Egypt,576,2574,55,5,0,Always,Always,Plastic,Heating oil,1056,4380,1486,4889,160.745017356496
Egypt,30,3919,22,4,2,Sometimes,Always,Plastic,Natural Gas,2354,1380,377,1524,53.0270212915092
Egypt,380,5593,90,9,0,I`am not considering this option,Sometimes,Tin cans,Wood,2087,2776,1336,2285,129.22501730187
Egypt,643,1545,39,4,2,Always,Sometimes,Glass,Wood,2502,5477,2236,3849,190.288217375495
Egypt,387,2404,10,6,0,Always,Always,Glass,Heating oil,2179,4378,1860,2322,134.228973343483
Egypt,616,2059,35,5,1,Sometimes,I`am not considering this option,Paper,Electricity,2474,5179,700,3624,187.75953336753
Egypt,662,1569,93,5,1,Always,I`am not considering this option,Food,No heating,2496,1117,2926,1596,173.436077373158
Egypt,360,1542,11,4,1,Sometimes,Sometimes,Food,Heating oil,1706,2404,2407,2765,110.501241350324
Egypt,244,2950,66,7,1,Sometimes,Always,Paper,Vegetable oil,952,1691,238,1113,81.167305319675
Egypt,48,5975,81,3,2,Sometimes,Always,Tin cans,Charcoal,1936,1221,1431,3551,59.4156972662487
Egypt,80,6716,83,7,2,I`am not considering this option,Sometimes,Tin cans,Peat,2948,4585,289,3323,91.9702492610912
Egypt,163,4222,75,8,2,Always,I`am not considering this option,Paper,Electricity,919,6869,289,1476,92.9931492972085
Egypt,419,6031,18,4,2,Always,Always,Glass,Vegetable oil,1762,3825,539,4831,144.932249305963
Egypt,690,6781,98,9,3,I`am not considering this option,Sometimes,Glass,Wood,2787,5548,1180,1713,220.82255331812
Egypt,107,3897,0,5,0,I`am not considering this option,Sometimes,Food,Wood,2696,3667,371,4439,83.2826573007768
Egypt,666,3006,27,5,0,Sometimes,Always,Glass,Wood,1889,4386,2263,540,191.450405362474
Egypt,370,1426,58,3,3,Always,I`am not considering this option,Paper,Electricity,2140,1308,121,4281,109.134257349122
Egypt,79,6936,31,4,0,I`am not considering this option,Sometimes,Plastic,Wood,1238,2647,1606,326,61.2709972622525
Egypt,759,1615,16,0,3,Sometimes,Always,Paper,Natural Gas,2809,4730,2488,3872,218.302205387498
Egypt,179,2588,57,4,3,Sometimes,I`am not considering this option,Glass,Natural Gas,842,4595,2002,4217,83.1315213180395
Egypt,572,2898,69,6,3,Always,Sometimes,Glass,Wood,2987,6815,2089,2832,193.359949351617
Egypt,126,1220,82,5,3,Always,Always,Food,Vegetable oil,2160,1078,2200,4775,64.2044333262248
Egypt,779,1042,71,4,2,I`am not considering this option,Always,Tin cans,Electricity,2078,3747,855,1547,203.561153391792
Egypt,114,3026,42,3,2,Always,Sometimes,Tin cans,Wood,2123,2426,1809,3801,64.5787293079442
Egypt,27,4723,82,5,3,Sometimes,I`am not considering this option,Tin cans,Electricity,2040,5940,1728,1533,76.1572652780259
Egypt,492,5523,48,9,1,Sometimes,Sometimes,Plastic,Wood,2306,5773,996,1667,171.371257316513
Egypt,395,6250,45,4,3,Sometimes,Always,Plastic,Vegetable oil,1588,1691,1921,2046,127.767757299292
Egypt,775,6769,98,0,3,I`am not considering this option,Sometimes,Glass,Vegetable oil,1792,6317,1816,1902,231.368237326238
Egypt,106,4540,21,6,0,I`am not considering this option,Always,Glass,Electricity,2567,5179,1829,3260,95.5989092920737
Egypt,678,1153,69,4,1,Sometimes,Always,Food,Wood,1198,822,1158,691,162.780385381027
Egypt,193,3929,38,2,1,Always,Always,Paper,Wood,1417,3659,2193,3933,88.4576253058632
Egypt,85,2928,96,4,2,Always,I`am not considering this option,Paper,Wood,1691,6105,2559,4091,80.3951293023588
Egypt,344,6104,96,6,2,Sometimes,Sometimes,Food,Natural Gas,1338,3157,680,1671,122.468953292354
Egypt,412,2520,85,2,1,I`am not considering this option,Sometimes,Glass,Natural Gas,1452,6956,1334,2179,145.536329339107
Egypt,482,6767,95,6,1,Sometimes,I`am not considering this option,Tin cans,Natural Gas,2031,1835,2405,1781,151.006153298339
Egypt,197,6060,75,8,1,I`am not considering this option,Always,Food,Wood,2241,2956,2937,4585,105.951761280224
Egypt,583,3518,30,9,2,Always,I`am not considering this option,Glass,Wood,2135,2480,2956,2158,164.524197348717
Egypt,639,4989,19,5,1,Sometimes,Always,Plastic,Natural Gas,2801,2875,1205,765,191.088353338574
Egypt,280,4022,28,8,0,I`am not considering this option,Always,Plastic,Natural Gas,1605,3259,2886,2432,105.544517314057
Egypt,734,3651,1,4,1,Always,Always,Paper,Electricity,1237,1615,1378,1855,179.961865363754
Egypt,683,6327,27,7,1,Always,Always,Glass,Wood,2721,2577,1222,1977,201.279401327517
Egypt,66,4068,0,2,0,Sometimes,Sometimes,Food,Wood,1621,970,116,3074,49.4062372948861
Egypt,333,6287,7,0,0,Sometimes,Sometimes,Glass,Wood,2326,2119,2476,2031,123.138977295556
Egypt,168,1416,98,6,2,I`am not considering this option,I`am not considering this option,Food,Vegetable oil,2286,5918,989,2629,100.299849326962
Egypt,51,3703,51,2,3,I`am not considering this option,Always,Paper,Vegetable oil,1279,4151,2665,3897,62.5911932937828
Egypt,654,2501,98,1,3,Sometimes,Sometimes,Plastic,Wood,2247,4727,325,1345,189.290833361675
Egypt,81,1928,17,7,3,Sometimes,I`am not considering this option,Tin cans,Wood,2695,3985,1029,2985,73.3388093188179
Egypt,460,3637,33,3,1,Always,Always,Tin cans,Vegetable oil,1708,1751,2612,1027,130.035961335157
Egypt,592,6537,82,6,0,Sometimes,Sometimes,Paper,Wood,1607,4012,806,4012,180.028797312418
Egypt,667,3958,29,7,3,Always,Sometimes,Plastic,Vegetable oil,1251,3976,2086,3797,177.724017351975
Egypt,294,1853,30,4,2,I`am not considering this option,I`am not considering this option,Tin cans,Electricity,964,5375,1153,2722,103.196965339119
Egypt,749,3597,45,2,2,Sometimes,Always,Tin cans,Electricity,2835,2514,221,662,206.653757362572
Egypt,733,1424,33,4,2,Sometimes,Always,Paper,No heating,2709,844,870,1148,188.29701338594
Egypt,795,2940,14,5,1,Always,Always,Plastic,No heating,2314,2480,1980,3635,207.203953376539
Egypt,407,1440,60,2,2,I`am not considering this option,Sometimes,Paper,Wood,2263,3652,303,3844,130.432765352358
Egypt,496,4870,4,5,3,Sometimes,Sometimes,Food,No heating,1082,6030,2365,502,159.567893327274
Egypt,777,5816,94,1,3,Sometimes,I`am not considering this option,Food,Charcoal,2701,3482,2169,4575,228.847169337277
Egypt,635,5515,43,0,2,Sometimes,Always,Plastic,Coal,2770,6303,1976,3584,213.181877330549
Egypt,504,4510,84,7,3,Always,Sometimes,Paper,Wood,2169,2163,1491,3143,148.823537326211
Egypt,676,6544,77,8,3,Always,Sometimes,Plastic,Coal,2852,2962,2694,275,199.219769320854
Egypt,46,1810,88,6,1,I`am not considering this option,Always,Food,Wood,2820,1169,326,3840,58.4888773115766
Egypt,344,1983,100,7,2,Always,I`am not considering this option,Glass,Wood,2207,6599,588,2785,137.522505337512
Egypt,198,2401,51,7,2,Sometimes,I`am not considering this option,Glass,Coal,1892,6509,2946,443,106.757657322418
Egypt,634,5452,25,5,3,Sometimes,I`am not considering this option,Glass,Charcoal,2429,5402,524,2619,202.369289332606
Egypt,132,5908,45,6,3,I`am not considering this option,Always,Plastic,No heating,1789,4080,688,2198,87.7370052777737
Egypt,435,6037,29,4,3,Sometimes,Sometimes,Plastic,Charcoal,2347,2302,3000,513,141.904033306656
Egypt,651,5789,77,1,1,Always,Sometimes,Paper,Coal,2042,4137,543,3390,191.403325326599
Egypt,639,5935,80,2,2,Always,Always,Glass,Electricity,1075,5678,2570,2975,192.980713323664
Egypt,532,1101,100,5,2,Sometimes,I`am not considering this option,Glass,Electricity,2251,1421,2425,866,146.74213336532
Egypt,107,5084,43,10,3,Sometimes,Always,Food,Peat,2413,5824,2757,2096,102.104141284734
Egypt,548,3895,80,5,0,Sometimes,I`am not considering this option,Food,Peat,947,6191,830,1927,171.11395333747
Egypt,369,1647,1,3,1,I`am not considering this option,Sometimes,Food,No heating,2290,3333,1865,3642,122.677693350725
Egypt,356,5229,84,6,2,I`am not considering this option,Always,Paper,Peat,2337,3265,2719,4780,136.173669303999
Egypt,47,5540,44,5,0,Always,Always,Plastic,Coal,2406,5402,2615,2816,83.358093273638
Egypt,112,1535,43,7,0,Always,Always,Tin cans,Charcoal,2853,4469,2320,507,81.8633133241803
Egypt,542,3908,55,5,3,I`am not considering this option,Sometimes,Tin cans,Peat,897,5497,232,1738,156.936341338557
Egypt,704,5660,89,2,1,Sometimes,I`am not considering this option,Food,Wood,1460,3214,315,1541,196.45959333232
Egypt,380,3749,51,0,0,Sometimes,I`am not considering this option,Glass,No heating,2384,3149,1336,4543,135.514817324885
Egypt,324,1963,57,5,1,I`am not considering this option,Sometimes,Paper,Vegetable oil,1357,5399,2320,1079,114.501313338864
Egypt,680,5473,18,0,0,Always,I`am not considering this option,Tin cans,Vegetable oil,1183,2451,811,368,174.308917337095
Egypt,200,5665,17,0,3,Always,Always,Tin cans,Vegetable oil,801,1273,811,4267,71.7956172888782
